,Year,Kilometers_Driven,Owner_Type,Seats,Mileage(km/kg),Engine(CC),Power(bhp),Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
4435,2014,45000,1,5.0,26.0,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1439,2011,70000,1,8.0,12.8,2494.0,102.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5485,2016,22982,1,5.0,13.0,1591.0,121.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5124,2016,85000,1,5.0,24.3,1248.0,88.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1
3638,2017,28052,1,5.0,18.9,1197.0,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
179,2012,63000,1,5.0,22.07,1199.0,73.9,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2472,2018,21603,1,5.0,13.0,2987.0,265.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29,2007,262000,4,7.0,12.8,2494.0,102.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1313,2015,44620,1,5.0,20.73,1373.0,91.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
3848,2011,51928,1,5.0,15.6,1196.0,70.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1376,2010,39852,1,5.0,16.0,1368.0,90.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1323,2019,171,1,5.0,24.7,796.0,47.3,0,0,0,0,0,0,0,0,1,0,0,0,1,1
684,2017,34000,1,5.0,13.0,2143.0,204.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1497,2012,148000,2,5.0,21.12,1248.0,88.8,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2949,2016,61648,1,5.0,13.7,1798.0,157.75,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4660,2007,52195,1,5.0,19.7,796.0,46.3,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1191,1999,70000,2,5.0,17.3,993.0,60.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
4664,2015,29000,1,5.0,19.67,1582.0,126.2,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5365,2009,59000,1,5.0,13.5,1799.0,130.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1737,2017,37832,1,5.0,22.5,998.0,67.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5241,2012,66000,1,5.0,0.0,2987.0,165.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2251,2016,28000,1,5.0,14.62,1999.0,149.92,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2276,2004,160000,2,5.0,11.3,1794.0,125.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3963,2014,60280,1,5.0,22.48,1995.0,190.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2998,2017,24214,2,5.0,25.17,799.0,53.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2019,2014,70669,1,7.0,15.1,2179.0,140.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3458,2008,73000,1,5.0,14.4,1396.0,65.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
5243,2017,36931,1,5.0,19.08,1582.0,126.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2881,2015,42023,1,5.0,15.5,1198.0,86.7,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2536,2015,38000,1,5.0,21.1,814.0,55.2,0,0,0,0,0,1,0,0,0,0,0,0,1,1
868,2015,42076,1,5.0,13.0,2143.0,201.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
581,2015,50000,1,5.0,19.3,1968.0,141.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3438,2010,66000,1,5.0,18.6,1199.0,79.4,0,1,0,0,0,0,0,0,0,0,0,0,1,1
3727,2015,50230,1,5.0,18.9,998.0,67.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4225,2014,52400,1,5.0,20.54,1598.0,103.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1
5186,2010,83000,2,5.0,11.1,2354.0,142.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2913,2009,90000,1,5.0,11.0,2993.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2582,2012,60000,2,5.0,19.81,1086.0,68.05,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4728,2012,94000,1,5.0,17.05,1995.0,184.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
878,2008,91000,2,5.0,19.3,1248.0,73.9,0,0,0,0,0,0,0,0,1,0,1,0,0,1
837,2015,44194,1,5.0,16.36,2179.0,187.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4393,2016,6714,1,5.0,18.0,1198.0,86.7,0,0,0,0,0,1,0,0,0,0,0,0,1,1
5675,2011,41000,2,5.0,16.95,1498.0,97.7,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2718,2011,43706,1,5.0,10.9,2497.0,215.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3819,2012,79000,2,5.0,17.92,1086.0,62.1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4666,2013,56526,1,5.0,15.26,1598.0,103.5,0,0,1,0,0,0,0,0,0,0,0,0,1,1
838,2005,102000,1,5.0,17.3,993.0,60.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
3303,2015,29500,1,7.0,15.97,2993.0,258.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
656,2012,75200,1,5.0,22.32,1582.0,126.32,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3518,2012,88381,1,5.0,17.0,1497.0,118.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
278,2014,49000,1,5.0,17.4,1497.0,117.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2833,2011,72000,1,5.0,20.0,1399.0,68.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1844,2014,62000,1,5.0,17.8,1248.0,75.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
703,2016,84000,1,5.0,17.72,1968.0,108.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2063,2009,37000,1,5.0,17.3,993.0,60.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4173,2014,57539,1,5.0,22.32,1582.0,126.32,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1311,2015,10000,1,5.0,18.88,1995.0,184.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2587,2015,30000,1,5.0,20.73,1373.0,91.1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
5104,2012,45000,1,5.0,22.32,1582.0,126.32,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1469,2013,92000,1,5.0,23.3,1984.0,150.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
841,2015,61717,1,5.0,18.9,1197.0,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5151,2015,100000,1,7.0,12.55,2982.0,168.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5450,2013,38000,1,5.0,15.6,1196.0,70.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4089,2005,65175,1,8.0,12.8,2494.0,102.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3307,2010,118077,1,5.0,16.2,1493.0,110.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2908,2005,240000,4,8.0,12.8,2494.0,102.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2057,2015,19317,1,7.0,13.0,2982.0,168.7,0,0,0,0,1,0,0,0,0,0,1,0,0,1
206,2015,27057,2,5.0,15.29,1591.0,121.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4960,2012,22000,1,5.0,14.84,2143.0,170.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3529,2007,52195,1,5.0,19.7,796.0,46.3,0,0,0,0,1,0,0,0,0,0,0,0,1,1
4807,2014,51134,1,5.0,24.0,1120.0,70.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2223,2016,25562,1,5.0,23.1,998.0,67.04,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3175,2014,35000,1,5.0,15.0,1598.0,103.52,0,0,0,0,0,0,0,0,1,0,0,0,1,1
774,2011,157000,1,7.0,12.55,2982.0,168.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
484,2012,32717,1,5.0,18.6,1199.0,79.4,0,0,0,0,0,0,1,0,0,0,0,0,1,1
57,2010,32000,1,5.0,20.36,1197.0,78.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1
5366,2012,59293,1,5.0,18.2,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
899,2011,47490,1,5.0,17.5,1198.0,75.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5490,2014,112827,1,5.0,13.1,1997.0,141.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4231,2017,14149,1,4.0,23.9,624.0,37.48,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1728,2015,53000,2,5.0,16.9,1197.0,81.86,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5402,2016,37023,1,5.0,19.67,1582.0,126.2,0,0,1,0,0,0,0,0,0,0,1,0,0,1
4262,2016,54268,1,5.0,28.09,1248.0,88.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3953,2015,34000,1,5.0,21.66,1498.0,103.52,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3699,2018,18678,1,5.0,21.1,998.0,100.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
5404,2017,20789,1,7.0,11.36,2755.0,171.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4787,2016,52553,1,5.0,19.67,1582.0,126.2,0,0,0,0,0,0,1,0,0,0,1,0,0,1
5085,2011,110000,1,5.0,16.96,1968.0,138.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2237,2011,60000,1,5.0,16.8,1497.0,118.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2271,2012,27014,1,5.0,16.25,1198.0,75.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
4684,2012,47629,1,7.0,15.1,2179.0,140.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1394,2012,37000,1,7.0,16.0,2179.0,140.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1012,2016,80000,1,5.0,24.4,1120.0,71.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4845,2016,25000,1,5.0,18.0,1497.0,117.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3176,2013,60001,1,5.0,17.11,1968.0,174.33,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3336,2013,130000,1,5.0,21.64,1461.0,84.8,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3340,2017,41697,1,5.0,13.1,1997.0,141.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4963,2014,61922,1,5.0,20.4,1197.0,81.8,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2084,2012,52618,1,5.0,18.9,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
4749,2011,71000,3,7.0,13.1,2499.0,141.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
4610,2003,83000,2,5.0,14.2,1597.0,92.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
459,2018,3678,1,5.0,18.16,1196.0,86.8,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2561,2005,91000,3,5.0,16.8,1341.0,83.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5396,2015,34895,1,5.0,19.15,1198.0,75.94,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1675,2014,160000,1,8.0,12.99,2494.0,100.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
3443,2018,11966,1,5.0,16.8,1497.0,116.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2441,2008,120000,2,5.0,18.1,1493.0,110.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
5109,2017,21800,1,5.0,17.0,1497.0,121.36,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3537,2011,59000,1,4.0,11.2,2993.0,241.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1167,2013,59000,1,7.0,13.5,2477.0,175.56,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1165,2019,1000,1,5.0,18.78,999.0,75.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
180,2015,25000,1,8.0,19.98,1461.0,108.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4759,2012,68000,1,5.0,21.9,1396.0,88.76,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2947,2012,37000,1,5.0,15.6,1497.0,116.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2537,2016,30000,2,5.0,18.12,1995.0,190.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5633,2007,58307,1,5.0,15.3,1341.0,83.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1375,2015,76128,1,5.0,26.59,1248.0,74.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2013,2013,47000,1,5.0,18.0,1198.0,86.7,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1252,2013,74000,1,5.0,22.07,1199.0,73.9,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3044,2017,35981,1,5.0,24.3,1248.0,88.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1888,2016,44487,1,5.0,22.54,1396.0,88.73,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1472,2008,125000,3,5.0,11.7,2354.0,177.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3238,2010,48002,2,5.0,13.14,1798.0,157.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1373,2011,42000,1,5.0,14.4,2967.0,241.4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
415,2018,12831,1,5.0,21.4,1197.0,83.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5015,2007,143000,2,5.0,14.2,1341.0,82.9,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4253,2011,70000,2,5.0,13.4,1798.0,157.8,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4683,2012,115000,1,5.0,19.33,1968.0,138.1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4497,2015,81828,1,5.0,24.0,1186.0,73.97,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4799,2014,66000,1,5.0,15.26,2143.0,203.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1181,2016,15399,1,5.0,18.7,1199.0,88.7,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2188,2010,110000,1,7.0,14.24,2755.0,174.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2727,2014,55000,1,5.0,18.6,1197.0,85.8,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2756,2015,23000,1,5.0,25.2,1248.0,74.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1475,2018,38593,1,5.0,18.7,1199.0,88.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1823,2011,60000,1,7.0,11.5,2982.0,171.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2144,2013,96000,2,5.0,23.5,1498.0,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
232,2015,56847,1,5.0,22.54,1396.0,88.73,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1817,2014,38000,2,5.0,14.16,1968.0,174.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4237,2011,82321,1,7.0,12.8,2494.0,102.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
361,2015,38000,1,5.0,17.9,2143.0,136.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
486,2014,79000,1,5.0,22.7,1498.0,89.84,0,0,0,0,0,0,0,0,1,0,1,0,0,1
3766,2016,32345,1,5.0,17.9,2143.0,136.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4462,2012,56400,1,5.0,17.2,1968.0,138.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4251,2007,66000,1,5.0,11.1,2354.0,158.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1111,2011,120000,1,5.0,18.0,1248.0,75.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4324,2008,86000,2,5.0,14.53,1798.0,138.1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
5849,2016,31150,1,5.0,16.36,2179.0,187.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5035,2013,52000,1,5.0,18.6,1197.0,85.8,0,0,0,0,0,0,0,0,0,1,0,0,1,1
691,2015,41721,1,5.0,19.1,1197.0,82.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
3204,2010,107000,1,5.0,14.84,2143.0,170.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1190,2012,34000,1,5.0,20.54,1598.0,103.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1157,2010,27089,1,5.0,16.0,1086.0,66.7,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4923,2007,145277,1,5.0,15.3,1596.0,101.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1858,2018,15982,1,5.0,20.73,1373.0,91.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2680,2018,20604,1,5.0,19.27,2143.0,167.62,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3578,2016,27809,1,5.0,21.4,1197.0,83.1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4857,2019,24864,1,5.0,20.5,1582.0,126.2,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2360,2013,25000,1,5.0,22.69,1995.0,190.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4169,2014,59000,1,5.0,25.8,1498.0,98.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5436,2016,62287,1,5.0,28.09,1248.0,88.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4709,2014,25000,1,5.0,22.9,1248.0,74.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1158,2016,53702,1,5.0,23.59,1364.0,67.04,0,0,1,0,0,0,0,0,0,0,1,0,0,1
129,2014,88500,1,5.0,24.07,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1853,2012,46913,1,5.0,14.94,2967.0,241.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2416,2007,76161,1,5.0,19.7,796.0,46.3,0,0,0,0,1,0,0,0,0,0,0,0,1,1
143,2013,23000,1,4.0,11.05,2894.0,444.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5158,2018,43639,1,5.0,21.1,998.0,100.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1422,2016,43000,1,5.0,14.16,1968.0,174.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3126,2016,22769,1,5.0,0.0,2987.0,165.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5707,2017,55975,2,5.0,17.68,1968.0,174.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3650,1998,55300,1,5.0,10.0,1796.0,157.7,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4045,2012,62000,1,5.0,17.8,1248.0,75.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3413,2015,54339,2,5.0,22.54,1396.0,88.73,0,0,0,0,0,0,0,0,0,1,1,0,0,1
202,2014,37245,1,5.0,14.8,1595.0,120.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3092,2014,82536,1,5.0,14.74,2993.0,270.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0
273,2012,54308,1,5.0,17.1,1591.0,121.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1798,2017,2000,1,5.0,28.4,1248.0,74.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
697,2015,46983,2,7.0,12.07,2967.0,241.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4535,2014,32000,1,5.0,14.3,1598.0,103.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3997,2013,71000,1,5.0,14.16,1968.0,174.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1484,2012,99754,1,5.0,17.72,1968.0,108.49,0,0,0,0,1,0,0,0,0,0,1,0,0,1
228,2011,32572,1,5.0,17.4,1497.0,117.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2115,2010,96813,2,8.0,12.05,2179.0,120.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
5246,2015,45000,2,5.0,18.6,1197.0,81.83,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2644,2015,23000,1,5.0,18.7,1199.0,88.7,1,0,0,0,0,0,0,0,0,0,0,0,1,1
3894,2005,120000,2,8.0,12.7,2609.0,116.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1903,2009,80000,2,5.0,20.4,1248.0,91.2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5240,2017,44504,1,5.0,23.4,1248.0,74.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5812,2015,91000,1,5.0,25.8,1498.0,98.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1
877,2016,58205,1,5.0,19.27,2143.0,167.62,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2241,2011,85000,1,5.0,16.55,1968.0,147.51,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2388,2014,79200,1,5.0,22.71,1461.0,84.8,0,1,0,0,0,0,0,0,0,0,1,0,0,1
5447,2015,47883,2,5.0,26.21,1248.0,88.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1224,2013,43000,1,7.0,16.0,2179.0,140.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1235,2014,77395,1,5.0,17.11,1968.0,174.33,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2153,2010,62714,1,5.0,12.1,2362.0,164.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0
723,2008,77650,1,5.0,17.2,1396.0,53.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1056,2015,120000,1,5.0,18.6,1199.0,76.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1
414,2014,30000,2,5.0,19.4,1198.0,86.8,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4621,2014,60000,1,5.0,17.4,1497.0,117.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3013,2015,57000,1,5.0,22.54,1396.0,88.73,0,0,0,0,0,0,0,0,1,0,1,0,0,1
3671,2009,85000,1,5.0,11.0,2987.0,198.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5359,2015,26000,1,5.0,17.01,1582.0,126.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2206,2012,95000,2,5.0,22.48,1995.0,190.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
959,2011,106976,1,5.0,13.5,2400.0,215.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
797,2014,40000,1,5.0,20.51,998.0,67.04,0,0,0,0,0,0,0,1,0,0,0,0,1,1
52,2014,53000,1,5.0,17.8,1248.0,75.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3753,2003,44200,2,5.0,11.7,1997.0,134.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2849,2013,90000,2,5.0,12.4,2698.0,179.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5665,2015,28000,1,5.0,20.36,1197.0,78.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3752,2013,50000,1,5.0,19.4,1198.0,86.8,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3321,2013,7000,1,5.0,17.97,1498.0,99.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3399,2012,91743,1,7.0,12.07,2967.0,241.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1813,2013,720000,1,5.0,20.54,1598.0,103.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4752,2017,82000,1,5.0,24.4,1120.0,71.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1960,2016,25000,1,5.0,18.9,1197.0,82.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2043,2015,28193,1,5.0,28.4,1248.0,73.75,0,0,0,0,0,0,0,1,0,0,1,0,0,1
4446,2010,73000,1,7.0,11.33,4134.0,335.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
307,2018,18000,1,7.0,16.02,1373.0,93.7,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1743,2015,65925,2,5.0,22.7,1498.0,89.84,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3869,2014,37298,1,5.0,25.1,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2702,2014,136000,1,5.0,13.1,1798.0,157.75,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3235,2016,19000,1,5.0,15.5,1198.0,86.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5094,2016,138000,1,5.0,25.8,1498.0,98.6,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2985,2016,93166,2,7.0,14.02,2179.0,118.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1
771,2017,26000,1,5.0,23.65,1248.0,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2483,2015,21979,1,5.0,17.11,1968.0,174.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2527,2014,60000,2,5.0,13.49,2179.0,138.03,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3455,2016,32000,1,7.0,15.4,2179.0,120.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
4711,2005,131000,1,5.0,11.0,2987.0,198.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
957,2008,64226,1,5.0,17.3,1061.0,57.5,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2160,2014,14000,1,5.0,18.2,1199.0,82.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2601,2009,61964,1,5.0,19.0,998.0,66.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3228,2012,168000,1,7.0,20.77,1248.0,88.76,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2548,2014,180000,1,5.0,22.3,1248.0,74.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2196,2016,41713,1,5.0,19.67,1582.0,126.2,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1339,2017,73003,1,5.0,26.0,1498.0,98.6,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3330,2011,80000,1,5.0,23.57,1396.0,70.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4275,2014,35000,1,5.0,16.46,2993.0,258.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1087,2014,69000,1,5.0,20.14,1498.0,88.8,0,0,0,0,1,0,0,0,0,0,1,0,0,1
199,2015,64103,1,5.0,15.73,1968.0,174.33,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1868,2016,45449,1,5.0,27.3,1498.0,98.6,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5206,2019,1000,1,5.0,17.19,1197.0,81.86,0,0,0,0,0,0,0,0,0,1,0,0,1,1
631,2015,94000,1,7.0,11.5,2982.0,169.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2494,2014,67557,1,5.0,23.4,1248.0,74.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5500,2016,39854,1,5.0,18.0,1198.0,86.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
